id|Name|Sex|Age|Height|Weight|Team
113|Adriana "Adrianinha" Moiss Pinto|F|21|170|65|Brazil
114|Attila Adrovicz|M|30|189|87|Hungary
115|Klaus Aeffke|M|24|189|82|Germany
116|Kseniya Dmitriyevna Afanasyeva|F|20|158|48|Russia
117|Maksim Sergeyevich Afinogenov|M|22|183|88|Russia
118|Olabisi "Bisi" Afolabi|F|20|180|62|Nigeria
119|Felicia Afrsiloaie (-Jitianu)|F|22|178|70|Romania
120|Cecil Sebastian Afrika|M|28|175|75|South Africa
121|Muhammad Afzal Manna|M|25|173|76|Pakistan
122|Timothy Ernest Victor Kwizera "Tim" Agaba|M|27|193|104|South Africa
123|Lavinia Agache (-Carney)|F|16|148|40|Romania
124|Luca Agamennoni|M|27|187|93|Italy
125|Andre Kirk Agassi|M|26|180|80|United States
126|Clarisse Agbegnenou|F|23|164|66|France
127|Viktor Ivanovich Ageyev|M|28|184|80|Soviet Union
128|Marilyn Agliotti|F|33|172|58|Netherlands
129|Yannick Agnel|M|20|202|90|France
130|Meghan Christina Agosta (-Marciano)|F|26|168|67|Canada
131|Benjamin Alexandro "Ben" Agosto|M|24|178|75|United States-1
132|Judit goston-Mendelnyi|F|27|164|62|Hungary
133|Sergio Leonel Agero del Castillo|M|20|172|74|Argentina
134|Taismary "Tai" Agero Leiva (-Botteghi)|F|23|175|70|Cuba
135|Jos Aguilar Pulsn|M|20|173|64|Cuba
136|Macarena Aguilar Daz|F|27|170|67|Spain
137|Sandra Aguilar Navarro|F|23|167|50|Spain
138|Jorge Luis Aguilera Ruiz|M|26|172|64|Cuba
139|Sri Wahyuni Agustiani|F|21|147|47|Indonesia
140|Robyn Mokihana Ah Mow-Santos|F|32|172|67|United States
141|Kevin Joseph Ahearn|M|23|175|73|United States
142|Timothy Joseph "Tim" Ahearne|M|22|170|57|Great Britain
143|Bruno Valfrid Ahlberg|M|21|168|69|Finland
144|Mats Bertil hlberg|M|32|179|78|Sweden
145|Annica Gunilla hln|F|27|177|75|Sweden
146|Thomas Valter hln|M|24|182|90|Sweden
147|Christian Ahlmann|M|41|189|80|Germany
148|Tontowi Ahmad|M|29|179|72|Indonesia-1
149|Arne Per hman|M|23|176|64|Sweden
150|Jrg Ahmann|M|34|190|88|Germany-1
151|Christine M. "Crissy" Ahmann-Leighton (-Perham)|F|22|172|52|United States
152|Muhammad Ashfaq Ahmed|M|21|162|62|Pakistan
153|Bashir Ahmed|M|25|171|67|Pakistan
154|Ishtiaq Ahmed|M|21|170|62|Pakistan
155|Manzoor Ahmed|M|24|169|75|Pakistan
156|Mushtaq Ahmed|M|27|173|61|Pakistan
157|Riaz Ahmed|M|30|150|70|Pakistan
158|Shahbaz Ahmed|M|23|175|61|Pakistan
159|Janne Petteri Ahonen|M|28|184|66|Finland
160|Peter Ahrendt|M|30|169|66|Mutafo
161|Brigitte Ahrenholz|F|23|178|85|East Germany
162|Christian "Chris" Ahrens|M|28|195|97|United States
163|Marlene Ahrens Ostertag (-Ebensperger)|F|23|176|70|Chile
164|Thomas Ahrens|M|16|163|50|Germany
165|Matteo Aicardi|M|30|192|102|Italy
166|Mara Magdalena Aicega Amicarelli|F|34|165|60|Argentina
167|Rosaria Aiello|F|27|172|74|Italy
168|Hannes Aigner|M|23|183|75|Germany
169|Nobuyuki Aihara|M|25|154|53|Japan
170|Yutaka Aihara|M|21|156|55|Japan
171|Ryoji Aikawa|M|28|183|85|Japan
172|Charles Benedict "Ben" Ainslie|M|35|183|90|Great Britain
173|Kurt Harold Ainsworth|M|22|187|84|United States
174|Robin Allingham Aisher|M|34|185|85|Great Britain
175|Brett Aitken|M|29|173|65|Australia
176|Artur Surenovych Aivazian|M|35|177|88|Ukraine
177|Eirini Andili|F|17|167|45|Greece
178|Oluwafemi "Junior" Ajayi|M|20|172|79|Nigeria
179|Omar Ajete Iglesias|M|35|175|93|Cuba
180|Ebenezer Oluwafemi "Femi" Ajilore|M|23|185|75|Nigeria
181|Mobolade Abimbola Ajomale|M|20|180|62|Canada
182|Chioma Ajunwa (-Opara)|F|24|164|57|Nigeria
183|Kriss Kezie Uche Chukwu Duru Akabusi|M|33|185|81|Great Britain
184|Kosei Akaishi|M|27|172|74|Japan
185|Yuichi Akasaka|M|24|169|64|Japan
186|Hseyin Akba|M|Null|167|57|Turkey
187|Vehbi Akda|M|23|168|62|Turkey
188|Michelle Anne Akers|F|30|178|68|United States
189|Taha Akgl|M|25|192|125|Turkey
190|Yelena Rabigovna Akhaminova (-Sokolovskaya)|F|18|181|80|Soviet Union
191|Albina Khamitovna Akhatova|F|29|160|55|Russia
192|Murodzhon Kakharovich Akhmadaliyev|M|21|165|56|Uzbekistan
193|Artur Kamilevich Akhmatkhuzin|M|28|187|79|Russia
194|Bakhtiyar Shakhabutdinovich Akhmedov|M|21|190|120|Russia
195|Lyutvi Dzhiber Akhmedov|M|34|184|87|Bulgaria
196|Leyla Begnyazovna Akhmerova|F|23|160|52|Soviet Union
197|Igor Vladimirovich Akhremchik|M|26|180|79|Soviet Union
198|Gulraiz Akhtar|M|25|172|61|Pakistan
199|Naeem Akhtar|M|23|173|65|Pakistan
200|John Akii-Bua|M|22|188|77|Uganda
201|Anatoly Ivanovich Akimov|M|24|181|84|Soviet Union
202|Vladimir Ivanovich Akimov|M|27|184|80|Soviet Union
203|Morolake Akinosun|F|22|163|61|United States
204|Foluke Antinuke Akinradewo|F|28|191|79|United States
205|Khadzhimurat Magomedovich Akkayev|M|23|178|105|Russia
206|Marina Dazmirovna Akobiya|F|25|165|57|Russia
207|Daniel Akpeyi|M|30|187|80|Nigeria
208|Monica Aksamit|F|26|183|74|United States
209|Liudmyla Vasylivna Aksenova (Shapovalova-)|F|29|165|58|Soviet Union
210|Aleksandr Timofeyevich Aksinin|M|25|173|67|Soviet Union
211|Nikolay Aleksandrovich Aksyonov|M|26|201|100|Russia
212|Irina Anatolyevna Aksyonova|F|17|174|62|Soviet Union
213|Vladyslav Ivanovych Akymenko|M|23|192|88|Soviet Union
214|Naser Al Shami|M|22|187|81|Syria
215|Nasser Salih Nasser Abdullah Al-Attiya|M|41|178|82|Qatar
216|Fehaid Al-Deehani|M|49|178|95|Individual Olympic Athletes
217|Ramzy Al-Duhami|M|40|162|70|Saudi Arabia
218|Khaled Al-Eid|M|31|175|57|Saudi Arabia
219|Abdul Rashid Al-Hasan|M|25|170|63|Pakistan
220|Ahmed bin Hasher Al-Maktoum|M|40|175|67|United Arab Emirates
221|Abdullah Al-Rashidi|M|52|183|83|Individual Olympic Athletes
222|Prince Abdullah Bin Moteb Al-Saud|M|27|178|69|Saudi Arabia
223|Hadi Soua''an Al-Somaily Jaadan|M|23|191|72|Saudi Arabia
224|Marina Alabau Neira|F|26|164|55|Spain
225|Armenak Alachachyan|M|33|176|74|Soviet Union
226|Arsen Shakhlamazovich Alakhverdiyev|M|23|154|52|Soviet Union
227|Noor Alam|M|30|172|73|Pakistan
228|Vladan Alanovi|M|25|190|81|Croatia
229|Mika Antero Alatalo|M|22|182|85|Finland
230|Toimi Johannes Alatalo|M|30|174|67|Finland
231|Fabio Albarelli|M|25|179|80|Italy
232|Marco Albarello|M|37|187|84|Italy
233|Ruslan Vladimirovich Albegov|M|24|192|156|Russia
234|David Albelda Aliqus|M|23|182|75|Spain
235|Reinhard Alber|M|20|184|75|West Germany
236|Alberto Alberani Samaritani|M|29|192|82|Italy
237|Flrin Albert|M|18|182|75|Hungary
238|Nely Carla Alberto Francisca|F|29|179|90|Spain
239|Ebbe Gustav Bertil Albertsson (-Andersson)|M|26|177|67|Sweden
240|Abramo Albini|M|20|180|83|Italy
241|Islam-Beka Said-Tsilimovich Albiyev|M|19|165|66|Russia
242|Sylvia Albrecht (-Heckendorf)|F|17|165|57|East Germany
243|Brigitte Albrecht-Loretan|F|31|175|64|Switzerland
244|John Robert Albrechtson|M|39|181|67|Sweden
245|David Donald "Dave" Albritton|M|23|191|79|United States
246|Anatoly Mikhaylovich Albul|M|24|181|87|Soviet Union
247|Aldair Nascimento dos Santos|M|30|183|76|Brazil
248|Andrs Aldama Cabrera|M|24|183|63|Cuba
249|Frederick Pitt "Fred" Alderman|M|22|177|75|United States
250|Joan "Jody" Alderson (-Braskamp)|F|17|170|59|United States
251|David Alegre Biosca|M|23|184|75|Spain
252|Ramn Alegre Biosca|M|27|171|71|Spain
253|Jo Qesem Ayela Aleh|F|30|171|58|New Zealand
254|Virgilijus Alekna|M|36|200|130|Lithuania
255|Boris Viktorovich Aleksandrov|M|20|168|69|Soviet Union
256|Rumen Aleksandrov|M|20|176|89|Bulgaria
257|Veniamin Veniaminovich Aleksandrov|M|30|180|81|Soviet Union
258|Vladimir Petrovich Aleksandrov|M|26|178|89|Soviet Union-2
259|Larisa Aleksandrova-Popova|F|23|180|83|Soviet Union
260|Artur Aleksanyan|M|24|190|98|Armenia
261|Vasily Ivanovich Alekseyev|M|34|185|160|Soviet Union
262|Galina Aleksandrovna Alekseyeva|F|17|157|50|Soviet Union
263|Milan Aleksi|M|30|193|96|Serbia
264|Alessandra dos Santos de Oliveira|F|26|200|85|Brazil
265|Alex Sandro Lobo Silva|M|21|177|60|Brazil
266|Lisa Alexander|F|27|172|58|Canada
267|Michael O''Donel Bjarne Alexander|M|24|188|74|Great Britain
268|Buffy-Lynne Alexander-Williams|F|23|170|69|Canada
269|Marc Robert Alexandre|M|28|170|73|France
270|Alexandre "Alexandre Pato" Rodrigues da Silva|M|22|179|71|Brazil
271|Constantin Alexandru|M|26|157|52|Romania
272|Ion Alexe|M|26|189|81|Romania
273|Vladimir Petrovich Aleynik|M|27|184|74|Soviet Union
274|Yevgeny Vasilyevich Aleynikov|M|33|181|88|Russia
275|Abdoul Razak Issoufou Alfaga|M|21|207|90|Niger
276|Lidiya Nikolayevna Alfeyeva|F|30|170|62|Soviet Union
277|Alfonso Prez Muoz|M|19|178|69|Spain
278|Stephen Todd "Steve" Alford|M|19|185|74|United States
279|Hans Daniel Alfredsson|M|41|182|92|Sweden
280|Zenny "Algodo" de Azevedo|M|35|183|77|Brazil
281|Ulf Hkan Gran Algotsson|M|27|178|77|Sweden
282|Sara Anneli Algotsson Ostholt|F|37|163|56|Sweden
283|Nasir Ali|M|25|176|69|Pakistan
284|Nia Sifaatihii Ali|F|27|170|65|United States
285|Syed Mushtaq Ali|M|22|165|61|India
286|mile Ali Khan|M|17|180|69|France
287|Rahim Aliabadi|M|29|158|48|Iran
288|Sergey Gennadyevich Alifirenko|M|45|168|72|Russia
289|Mirko Alilovi|M|26|200|110|Croatia
290|Aline Pellegrino|F|22|180|71|Brazil
291|Aleksey Aleksandrovich Alipov|M|32|175|80|Russia
292|Alison Conte Cerutti|M|30|203|106|Brazil-1
293|Deji Aliu|M|28|187|75|Nigeria
294|Margarita Sergeyevna Aliychuk|F|17|174|48|Russia
295|Kimia Alizadeh Zenoorin|F|18|185|57|Iran
296|Yuliya Yakunovna Allagulova|F|19|176|54|Unified Team
297|mile Allais|M|23|168|68|France
298|Mohamed Allalou|M|26|174|63|Algeria
299|Peter Frank Allam|M|25|193|93|Great Britain
300|Olivier Allamand|M|22|175|72|France
301|Alister Millar Allan|M|44|162|68|Great Britain
302|William Charles "Bill" Allen|M|24|188|95|United States
303|John Chad Allen|M|21|185|86|United States
304|Katherine Jessie Jean "Kate" Allen (-Diechtler)|F|34|163|53|Austria
305|Kate Ruth "Katie" Allen|F|26|170|65|Australia
306|Walter Ray Allen|M|25|192|93|United States
307|Scott Ethan "Scotty" Allen|M|14|163|69|United States
308|Wyatt Allen|M|29|193|98|United States
