id|Sport|EventPCount
486|Cycling|Cycling Women''s Individual Pursuit, 3,000 metres|30
487|Boxing|Boxing Men''s Welterweight|132
488|Cycling|Cycling Women''s Road Race, Individual|54
489|Athletics|Athletics Men''s 5,000 metres|142
490|Cross Country Skiing|Cross Country Skiing Men''s 50 kilometres|98
491|Cross Country Skiing|Cross Country Skiing Men''s 30 kilometres|70
492|Swimming|Swimming Women''s 400 metres Individual Medley|78
493|Biathlon|Biathlon Men''s 4 x 7.5 kilometres Relay|294
494|Short Track Speed Skating|Short Track Speed Skating Women''s 3,000 metres Relay|150
495|Speed Skating|Speed Skating Men''s 1,000 metres|68
496|Athletics|Athletics Women''s 800 metres|92
497|Canoeing|Canoeing Women''s Kayak Singles, 500 metres|94
498|Canoeing|Canoeing Women''s Kayak Doubles, 500 metres|178
499|Volleyball|Volleyball Women''s Volleyball|806
500|Weightlifting|Weightlifting Men''s Middleweight|92
501|Wrestling|Wrestling Women''s Heavyweight, Freestyle|24
502|Shooting|Shooting Men''s Air Pistol, 10 metres|34
503|Speed Skating|Speed Skating Women''s Team Pursuit (6 laps)|74
504|Athletics|Athletics Men''s Decathlon|144
505|Rowing|Rowing Women''s Coxed Quadruple Sculls|94
506|Cycling|Cycling Men''s 100 kilometres Team Time Trial|206
507|Luge|Luge Men''s Singles|84
508|Boxing|Boxing Men''s Flyweight|120
509|Judo|Judo Women''s Half-Middleweight|46
510|Gymnastics|Gymnastics Men''s Horizontal Bar|98
511|Canoeing|Canoeing Men''s Kayak Doubles, 1,000 metres|194
512|Cross Country Skiing|Cross Country Skiing Men''s Sprint|24
513|Cross Country Skiing|Cross Country Skiing Men''s 4 x 10 kilometres Relay|378
514|Luge|Luge Women''s Singles|84
515|Gymnastics|Gymnastics Men''s Team All-Around|502
516|Handball|Handball Men''s Handball|1032
517|Swimming|Swimming Women''s 4 x 100 metres Freestyle Relay|480
518|Rowing|Rowing Men''s Coxed Pairs|194
519|Athletics|Athletics Men''s Hammer Throw|150
520|Equestrianism|Equestrianism Mixed Dressage, Team|294
521|Fencing|Fencing Men''s Sabre, Team|448
522|Handball|Handball Women''s Handball|816
523|Sailing|Sailing Men''s Windsurfer|48
524|Taekwondo|Taekwondo Women''s Featherweight|34
525|Rowing|Rowing Women''s Coxed Eights|560
526|Bobsleigh|Bobsleigh Men''s Two|172
527|Bobsleigh|Bobsleigh Men''s Four|346
528|Ice Hockey|Ice Hockey Men''s Ice Hockey|2002
529|Rowing|Rowing Men''s Coxed Fours|326
530|Gymnastics|Gymnastics Women''s Team All-Around|490
531|Gymnastics|Gymnastics Women''s Horse Vault|88
532|Gymnastics|Gymnastics Women''s Uneven Bars|80
533|Rowing|Rowing Men''s Quadruple Sculls|264
534|Swimming|Swimming Men''s 4 x 200 metres Freestyle Relay|534
535|Basketball|Basketball Men''s Basketball|1220
536|Athletics|Athletics Men''s 4 x 400 metres Relay|590
537|Boxing|Boxing Men''s Lightweight|120
538|Swimming|Swimming Men''s 200 metres Breaststroke|98
539|Ski Jumping|Ski Jumping Men''s Large Hill, Team|184
540|Alpine Skiing|Alpine Skiing Men''s Downhill|82
541|Alpine Skiing|Alpine Skiing Men''s Giant Slalom|82
542|Alpine Skiing|Alpine Skiing Men''s Combined|52
543|Boxing|Boxing Men''s Heavyweight|130
544|Rhythmic Gymnastics|Rhythmic Gymnastics Women''s Group|188
545|Swimming|Swimming Women''s 200 metres Backstroke|80
546|Water Polo|Water Polo Men''s Water Polo|1146
547|Athletics|Athletics Women''s Discus Throw|116
548|Tennis|Tennis Women''s Doubles|104
549|Judo|Judo Men''s Middleweight|100
550|Football|Football Men''s Football|1566
551|Tennis|Tennis Women''s Singles|52
552|Hockey|Hockey Women''s Hockey|876
553|Swimming|Swimming Men''s 4 x 100 metres Freestyle Relay|398
554|Volleyball|Volleyball Men''s Volleyball|978
555|Hockey|Hockey Men''s Hockey|1428
556|Judo|Judo Women''s Middleweight|52
557|Athletics|Athletics Men''s 4 x 100 metres Relay|564
558|Rowing|Rowing Men''s Double Sculls|202
559|Rowing|Rowing Men''s Coxed Eights|894
560|Athletics|Athletics Women''s Shot Put|94
561|Fencing|Fencing Men''s Foil, Team|384
562|Athletics|Athletics Women''s 4 x 400 metres Relay|364
