id|Sport|EventPCount
109|Cross Country Skiing|Cross Country Skiing Women''s 20 kilometres|12
110|Athletics|Athletics Women''s Pentathlon|30
111|Equestrianism|Equestrianism Mixed Three-Day Event, Individual|80
112|Athletics|Athletics Women''s 1,500 metres|70
113|Rowing|Rowing Women''s Single Sculls|62
114|Boxing|Boxing Women''s Middleweight|10
115|Canoeing|Canoeing Men''s Kayak Doubles, 200 metres|24
116|Athletics|Athletics Women''s 200 metres|106
117|Taekwondo|Taekwondo Men''s Heavyweight|34
118|Snowboarding|Snowboarding Women''s Boardercross|18
119|Skeleton|Skeleton Men''s Skeleton|24
120|Cycling|Cycling Women''s Omnium|12
121|Weightlifting|Weightlifting Women''s Middleweight|26
122|Athletics|Athletics Men''s Standing High Jump|22
123|Athletics|Athletics Men''s Standing Long Jump|22
124|Cycling|Cycling Women''s 500 metres Time Trial|8
125|Freestyle Skiing|Freestyle Skiing Women''s Aerials|26
126|Wrestling|Wrestling Men''s Super-Heavyweight, Greco-Roman|76
127|Sailing|Sailing Men''s Skiff|24
128|Short Track Speed Skating|Short Track Speed Skating Men''s 1,000 metres|38
129|Shooting|Shooting Women''s Small-Bore Rifle, Three Positions, 50 metres|44
130|Canoeing|Canoeing Men''s Canadian Doubles, 10,000 metres|6
131|Short Track Speed Skating|Short Track Speed Skating Women''s 500 metres|26
132|Athletics|Athletics Men''s 5,000 metres, Team|6
133|Biathlon|Biathlon Men''s 10 kilometres Sprint|56
134|Biathlon|Biathlon Men''s 20 kilometres|80
135|Cross Country Skiing|Cross Country Skiing Men''s 10 kilometres|14
136|Athletics|Athletics Men''s 4 mile, Team|10
137|Wrestling|Wrestling Men''s Light-Flyweight, Greco-Roman|42
138|Biathlon|Biathlon Men''s 15 kilometres Mass Start|18
139|Fencing|Fencing Men''s epee, Individual|92
140|Boxing|Boxing Women''s Flyweight|12
141|Freestyle Skiing|Freestyle Skiing Men''s Aerials|30
142|Swimming|Swimming Men''s 50 metres Freestyle|48
143|Rowing|Rowing Men''s Lightweight Double Sculls|72
144|Swimming|Swimming Women''s 10 kilometres Open Water|18
145|Judo|Judo Women''s Extra-Lightweight|52
146|Cycling|Cycling Men''s Keirin|32
